Date,Open,High,Low,Close,Adj Close,Volume
2017-05-22,30.628700,30.875000,27.620001,27.735001,27.418356,782400
2017-05-23,28.688700,30.662500,27.688700,30.236200,29.891001,851200
2017-05-24,30.500000,31.562500,30.500000,31.209999,30.853680,638400
2017-05-25,31.125000,31.843800,30.625000,31.091200,30.736238,776800
2017-05-26,31.608700,31.875000,31.333700,31.875000,31.511087,511200
2017-05-29,31.875000,31.875000,31.875000,31.875000,31.511087,0
2017-05-30,32.312500,32.873699,32.262501,32.500000,32.128956,324000
2017-05-31,32.687500,33.062500,31.285000,31.375000,31.016798,840800
2017-06-01,31.681200,32.248699,30.197500,30.952499,30.599121,616800
2017-06-02,31.375000,31.548700,29.812500,30.187500,29.842855,1300800
2017-06-05,30.125000,30.313700,29.623800,29.623800,29.285589,760000
2017-06-06,29.508801,29.937500,28.250000,29.625000,29.286777,1044000
2017-06-07,29.963800,31.250000,29.778700,31.186300,30.830252,875200
2017-06-08,31.186300,32.557499,30.812500,32.151199,31.784136,857600
2017-06-09,32.313801,32.731300,31.392500,31.500000,31.140371,545600
2017-06-12,31.250000,32.101200,30.885000,31.038700,30.684336,675200
2017-06-13,31.290001,31.958700,30.757500,31.958700,31.593834,692000
2017-06-14,32.055000,32.498699,31.788700,32.125000,31.758232,791200
2017-06-15,32.125000,32.125000,32.125000,32.125000,31.758232,0
2017-06-16,32.125000,32.375000,31.040001,32.375000,32.005379,805600
2017-06-19,31.898800,32.487499,31.855000,32.125000,31.758232,506400
2017-06-20,32.123699,32.123699,30.733700,30.733700,30.382818,1035200
2017-06-21,31.296200,31.495001,30.440001,30.625000,30.275362,836800
2017-06-22,30.876200,30.950001,29.875000,29.875000,29.533922,802400
2017-06-23,30.276300,30.937500,29.748800,30.586300,30.237101,1247200
2017-06-26,30.750000,31.471300,30.531200,31.375000,31.016798,505600
2017-06-27,31.375000,31.506300,30.232500,30.750000,30.398933,532800
2017-06-28,30.998800,31.000000,30.125000,30.125000,29.781069,652000
2017-06-29,30.427500,31.125000,30.227501,31.059999,30.705393,638400
2017-06-30,30.941200,32.250000,30.941200,32.000000,31.634661,834400
2017-07-03,31.937500,32.500000,31.937500,32.500000,32.128956,457600
2017-07-04,32.498699,32.728699,32.275002,32.500000,32.128956,315200
2017-07-05,32.250000,32.562500,32.211300,32.500000,32.128956,860000
2017-07-06,32.373699,32.466301,32.125000,32.424999,32.054806,1366400
2017-07-07,32.375000,35.875000,32.375000,35.686199,35.278774,2224800
2017-07-10,35.686199,37.237499,35.453800,37.227501,36.802483,1689600
2017-07-11,37.372501,38.222500,37.131199,37.998699,37.564873,1082400
